test_start,test_end,n_test,model_accuracy,naive_up_accuracy,random_accuracy,precision,recall,strategy_total_return_pct,buyhold_total_return_pct
2020-03-25,2020-06-18,60,0.7333,0.8333,0.5,0.8269,0.86,130.974,186.173
2020-06-19,2020-09-14,60,0.5667,0.65,0.45,0.6226,0.8462,80.511,118.956
2020-09-15,2020-12-08,60,0.5333,0.55,0.3833,0.5439,0.9394,56.464,59.221
2020-12-09,2021-03-08,60,0.4833,0.4667,0.5,0.4746,1.0,8.697,-0.248
2021-03-09,2021-06-02,60,0.5167,0.5167,0.6833,0.5167,1.0,20.404,20.404
2021-06-03,2021-08-26,60,0.8,0.7833,0.55,0.7966,1.0,97.885,96.952
2021-08-27,2021-11-19,60,0.4333,0.5667,0.4667,0.5,0.5588,4.478,30.202
2021-11-22,2022-02-16,60,0.55,0.5167,0.4167,0.5526,0.6774,54.679,19.717
2022-02-17,2022-05-13,60,0.2833,0.2833,0.5167,0.2833,1.0,-66.664,-66.664
2022-05-16,2022-08-10,60,0.65,0.7333,0.3333,0.7949,0.7045,60.055,103.913
2022-08-11,2022-11-03,60,0.35,0.3,0.4667,0.2558,0.6111,-93.231,-98.259
2022-11-04,2023-02-01,60,0.6,0.5833,0.45,0.7619,0.4571,34.488,50.668
2023-02-02,2023-04-28,60,0.5667,0.6667,0.5667,0.75,0.525,32.292,53.568
2023-05-01,2023-07-26,60,0.8,0.7667,0.5667,0.8036,0.9783,74.089,72.913
2023-07-27,2023-10-19,60,0.35,0.35,0.55,0.35,1.0,-58.841,-58.841
2023-10-20,2024-01-17,60,0.6167,0.6333,0.5333,0.6364,0.9211,57.73,62.113
2024-01-18,2024-04-12,60,0.3333,0.35,0.5167,0.3137,0.7619,-60.887,-64.357
2024-04-15,2024-07-10,60,0.3167,0.7833,0.55,0.8,0.1702,49.024,164.693
2024-07-11,2024-10-03,60,0.4833,0.4833,0.55,0.48,0.8276,-26.291,-7.009
2024-10-04,2024-12-30,60,0.65,0.7,0.3333,0.6909,0.9048,29.233,41.722
2024-12-31,2025-03-28,60,0.4,0.3667,0.5667,0.36,0.8182,-59.64,-65.407
2025-03-31,2025-06-25,60,0.4333,0.5,0.4667,0.46,0.7667,-14.863,-1.534
2025-06-26,2025-09-19,60,0.5333,0.65,0.55,0.72,0.4615,66.498,114.721
2025-09-22,2025-12-15,60,0.6,0.5667,0.4333,0.6042,0.8529,37.224,36.014
2025-12-16,2026-03-13,60,0.4167,0.3333,0.3667,0.2973,0.55,-38.07,-37.366
2026-03-16,2026-06-09,60,0.5167,0.7333,0.5333,0.6829,0.6364,42.407,84.332
2026-06-10,2026-09-03,60,0.5667,0.6167,0.7833,0.6667,0.5946,59.171,50.822
